"시군구명","시간대","분류","매출건수(건)","매출합계(원)","집계시작일","집계종료일"
"창원시 성산구","6","여행","507 ","27553119 ","20240101","20241231"
"창원시 성산구","6","유통","356292 ","2595581714 ","20240101","20241231"
"창원시 성산구","6","유흥","2173 ","233683002 ","20240101","20241231"
"창원시 성산구","6","의료/미용","1522 ","51487375 ","20240101","20241231"
"창원시 성산구","6","자동차","44997 ","3039169863 ","20240101","20241231"
"창원시 성산구","7","교육","82 ","11816313 ","20240101","20241231"
"창원시 성산구","7","기타","151 ","5786840 ","20240101","20241231"
"창원시 성산구","7","레포츠/문화/취미","2529 ","16547635 ","20240101","20241231"
"창원시 성산구","7","서비스","665 ","18708019 ","20240101","20241231"
"창원시 성산구","7","식생활","154064 ","1474364880 ","20240101","20241231"
"창원시 성산구","7","여행","521 ","32469500 ","20240101","20241231"
"창원시 성산구","7","유통","586292 ","3927312543 ","20240101","20241231"
"창원시 성산구","7","유흥","761 ","101707334 ","20240101","20241231"
"창원시 성산구","7","의료/미용","13550 ","404575051 ","20240101","20241231"
"창원시 성산구","7","자동차","68410 ","4130261576 ","20240101","20241231"
"창원시 성산구","7","주거생활","62 ","1191501 ","20240101","20241231"
"창원시 성산구","8","교육","1316 ","312331391 ","20240101","20241231"
"창원시 성산구","8","기타","775 ","31295572 ","20240101","20241231"
"창원시 성산구","8","내구재","384 ","208910 ","20240101","20241231"
"창원시 성산구","8","레포츠/문화/취미","8513 ","112942084 ","20240101","20241231"
"창원시 성산구","8","서비스","3029 ","147232899 ","20240101","20241231"
"창원시 성산구","8","식생활","394366 ","2832728698 ","20240101","20241231"
"창원시 성산구","8","여행","302 ","46818369 ","20240101","20241231"
"창원시 성산구","8","유통","594578 ","4344780713 ","20240101","20241231"
"창원시 성산구","8","유흥","164 ","11836189 ","20240101","20241231"
"창원시 성산구","8","의료/미용","45154 ","1719157341 ","20240101","20241231"
"창원시 성산구","8","의생활","21 ","370117 ","20240101","20241231"
"창원시 성산구","8","자동차","100254 ","5629312467 ","20240101","20241231"
"창원시 성산구","8","주거생활","117 ","2418506 ","20240101","20241231"
"창원시 성산구","9","교육","3454 ","650528239 ","20240101","20241231"
"창원시 성산구","9","기타","30192 ","1229900048 ","20240101","20241231"
"창원시 성산구","9","내구재","254 ","2781666 ","20240101","20241231"
"창원시 성산구","9","레포츠/문화/취미","29794 ","461274297 ","20240101","20241231"
"창원시 성산구","9","서비스","17937 ","674971008 ","20240101","20241231"
"창원시 성산구","9","식생활","567464 ","5303278636 ","20240101","20241231"
"창원시 성산구","9","여행","302 ","72661412 ","20240101","20241231"
"창원시 성산구","9","유통","642872 ","6930408300 ","20240101","20241231"
"창원시 성산구","9","유흥","151 ","23065798 ","20240101","20241231"
"창원시 성산구","9","의료/미용","471494 ","17851113859 ","20240101","20241231"
"창원시 성산구","9","의생활","21 ","360521 ","20240101","20241231"
"창원시 성산구","9","자동차","127368 ","7169708746 ","20240101","20241231"
"창원시 성산구","9","주거생활","226 ","4507951 ","20240101","20241231"
"창원시 성산구","10","교육","163996 ","7216127690 ","20240101","20241231"
"창원시 성산구","10","기타","6018 ","564080404 ","20240101","20241231"
"창원시 성산구","10","내구재","1385 ","72126731 ","20240101","20241231"
"창원시 성산구","10","레포츠/문화/취미","47533 ","1046639500 ","20240101","20241231"
"창원시 성산구","10","서비스","26984 ","1684369225 ","20240101","20241231"
"창원시 성산구","10","식생활","716744 ","8119788725 ","20240101","20241231"
